Nome da ferramenta,País de origem,Preparação da ficha técnica detalhada,Instituição Responsável,Finalidade da Ferramenta,Momento de atividade produtiva,Taxonomia de ferramentas (principal),Canais de acesso à informação,Tipologia dos Canais de Comunicação,Público-alvo principal,Âmbito de aplicação,Modelo de Acesso,Dimensão de interação,Natureza Institucional,Categoria da organização,Idioma de disponibilidade,Integração com o WhatsApp,Conectividade necessária,Nível de digitalização,Nível de abertura da ferramenta,Link,Descrição (resumo)
Alvo ADAMA (Alvo),Brasil,Não,ADAMA,Orientação Técnica,Durante,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Aplicativo,Meios de comunicação de massa,Produtor,"Específicos (soja, milho, algodão, trigo, cana e café)",Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Português,Não,Não,Digitação,Acessível a terceiros,https://www.adama.com/brasil/pt/adama-alvo,"O ADAMA Target é um aplicativo que ajuda a identificar as principais pragas, ervas daninhas e doenças que afetam lavouras brasileiras como soja, milho, trigo, algodão, cana-de-açúcar e café, utilizando um banco de dados de imagens abrangente. Encontre informações sobre o ciclo de vida, tratamento adequado, impacto econômico e uma descrição de cada problema nas lavouras brasileiras. Se não encontrar o alvo, tire uma foto, envie e receba ajuda."
Aegro Campo,Brasil,Não,Aegro, Gerenciamento,Durante,Monitoramento e gerenciamento integrados da produção,Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Português,Não,Não,Transformação Digital,Acessível a terceiros,"https://aegro.com.br/solucoes/gestao-rural/
https://play.google.com/store/apps/details?id=com.aegro.aegroapp
https://apps.apple.com/us/app/aegro-campo/id1105392365?l=pt-BR","O Aegro é um aplicativo que integra de forma eficaz dados agrícolas e financeiros, ajudando você a tomar decisões mais rentáveis. As principais vantagens de usar o Aegro são: monitorar as operações agrícolas remotamente e em tempo real; e ter maior controle sobre os custos de produção agrícola."
Agricultura SC,Brasil,Não,Secretário de Agricultura de Santa Catarina,Comunicação,Durante,"Conteúdo, Educação e Redes Sociais",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Governo Estadual/Provincial,Português,Não,Sim,Digitalização,Acessível a terceiros,"https://apps.apple.com/us/app/agricultura-sc/id6739265025; 
https://play.google.com/store/apps/details?id=com.sar.agriculturasc","O principal aplicativo agrícola em Santa Catarina é o Agricultura SC, da Secretaria de Agricultura e Pecuária (SAPE). Este aplicativo reúne notícias, programas, serviços e informações da Epagri, Cidasc e Ceasa, sendo ideal para que os produtores de Santa Catarina se mantenham atualizados. Além disso, o Epagri Mob oferece ferramentas práticas como previsão do tempo, monitoramento de doenças e tecnologias agrícolas."
AgroApp,Brasil,Não,Agroapp Soluções Agro Digitais LTDA,Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Aplicativo,Meios de comunicação de massa,Produtor,"Específicos (algodão, arroz, batata doce, café, cana-de-açúcar, frutas cítricas, feijão, girassol, milho, pastagens, soja, sorgo, tomate e trigo)",Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Português,Não,Não,Digitalização,Acessível a terceiros,"https://agroapp.com.br/recursos/
https://play.google.com/store/apps/details?id=br.com.agroapp","O aplicativo reúne informações agrícolas de forma organizada e de fácil acesso. Foi desenvolvido considerando a dificuldade que agricultores e técnicos enfrentam para encontrar informações confiáveis ​​e estruturadas em seu trabalho diário no campo. Embora uma grande quantidade de conteúdo esteja disponível online, muito dele está disperso e inacessível offline, justamente quando mais necessário. Nesse sentido, o aplicativo visa facilitar o uso prático da informação no campo, mesmo em contextos de conectividade limitada."
AgroCaderno,Brasil,Não,"Harvest Apps Ltda.

",Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Português,Não,Não,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=com.mycompany.agrobulas,"Uma ferramenta digital desenvolvida para facilitar a organização e o registro de atividades agrícolas. O aplicativo permite aos usuários monitorar o uso de pesticidas, registrar pulverizações e anotar operações importantes realizadas na propriedade, contribuindo para uma gestão de informações mais sistemática. Também facilita o compartilhamento de registros entre os membros da equipe, tornando mais fácil o acompanhamento das atividades diárias de produção."
Agrolink,Brasil,Não,Agrolink,Comercialização,Depois,Plataformas de loja online (e-commerce) e marketplace,Site,Meios de comunicação de massa,Produtor,"Específicos (Algodão, Arroz, Café, Cana, Feijão, Milho, Soja e Trigo)",Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Português,Não,,Digitalização,Acessível a terceiros,https://www.agrolink.com.br/agrolinkfito/,"Uma plataforma digital de informação agrícola que reúne notícias, conteúdo técnico e dados de interesse para o setor agrícola. Ela serve como fonte de informação sobre temas como uso de pesticidas, informações de mercado, preços agrícolas, previsões meteorológicas e materiais audiovisuais, facilitando o acesso à informação para produtores, técnicos e outros atores envolvidos em áreas rurais."
Maracujá AgroPragas,Brasil,Não,Embrapa,Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Aplicativo,Meios de comunicação de massa,Produtor,Específico (Maracujá),Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Português,Não,Não,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=br.embrapa.cnpmf.gicp_maracujazeiro,"Uma ferramenta para o manejo integrado de pragas e doenças em maracujá. Ela reúne informações técnicas sobre identificação, monitoramento e estratégias de controle, auxiliando agricultores e técnicos na tomada de decisões embasadas sobre o manejo da cultura. O aplicativo organiza o conteúdo de forma prática, contribuindo para um uso mais eficiente dos insumos e para a melhoria da saúde e produtividade dos pomares de maracujá."
BASF Agro,Brasil,Não,BASF SA,Comercialização,Antes ,"Fertilizantes, inoculantes e nutrientes",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Português,Não,Sim,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=br.com.basf.agro,"A ferramenta reúne informações relacionadas à produção agrícola, incluindo diretrizes sobre o uso de pesticidas, bem como conteúdo voltado para o acesso a informações de mercado. Seu objetivo é apoiar agricultores e técnicos no monitoramento dos aspectos produtivos e comerciais da atividade agrícola, facilitando o acesso a dados relevantes para o planejamento e a tomada de decisões nas operações diárias no campo."
Bulário Defensivo Agrícola,Brasil,Não,Samuel Campos Lopes da Silva Tecnologia,Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Aplicativo,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Português,Não,Sim,Digitação,Acessível a terceiros,https://play.google.com/store/apps/details?id=appsmoveis.com.br.bulariodefensivosagricolas,"Este aplicativo foi desenvolvido para auxiliar agrônomos e agricultores na gestão de pesticidas agrícolas. Ele contém um banco de dados com mais de 1.800 produtos registrados e pode ser usado offline. A ferramenta permite buscas por produto, ingrediente ativo ou fabricante, facilitando o acesso a informações técnicas para o trabalho de campo diário."
Calagem e Adubação,Brasil,Não,Daniel Baltazar Schneider,Orientação Técnica,Antes ,Análise de solo e plantas,Aplicativo,Meios de comunicação de massa,Ambos,Em geral,Freemium,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Português,Não,Não,Digitalização,Acessível a terceiros,"https://datalu.com.br/pages/calagemadubacao.html
https://play.google.com/store/apps/details?id=br.com.stringsoft.calagem_brasil","Um aplicativo desenvolvido para simplificar o planejamento técnico da calagem, fertilização e distribuição de insumos no campo. Inclui ferramentas para calcular as necessidades de calagem, a quantidade de corretivos e fertilizantes, calibrar distribuidores de calcário e fertilizantes e ajustar semeadoras e aplicadores de fertilizantes. Com base em dados de análise do solo, o aplicativo realiza os cálculos necessários e permite que os usuários meçam áreas usando mapas. Também oferece consultoria fitossanitária e outras informações úteis para o manejo, tudo acessível diretamente no seu dispositivo móvel."
Cálculos de plantio,Brasil,Não,Daniel Baltazar Schneider,Orientação Técnica,Antes ,Análise de solo e plantas,Aplicativo,Meios de comunicação de massa,Ambos,Em geral,Freemium,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Português,Não,Não,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=br.com.datalu.plantecerto; https://apps.apple.com/jp/app/c%C3%A1lculos-de-plantio/id6743328754,"Oferece cálculos precisos para a semeadura dos principais cereais, permitindo determinar a quantidade e o espaçamento ideais das sementes. Além disso, o aplicativo inclui um módulo específico para testes de germinação."
GID Inimigos Naturais,Brasil,Não,"IAPAR - EMATER
",Orientação Técnica,Durante,Diagnóstico por Imagem e Identificação,Aplicativo,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Português,Não,Não,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=br.gov.pr.idrparana.inimigos_naturais_soja,"Este aplicativo, desenvolvido pelo IDR-Paraná, reúne descrições e imagens para facilitar a identificação de insetos predadores e parasitoides associados ao controle de pragas agrícolas. O conteúdo é apresentado em linguagem simples, tornando-o de fácil compreensão para usuários menos familiarizados com a taxonomia entomológica, e pode ser utilizado para apoiar a formação e o desenvolvimento de agricultores, estudantes e profissionais do setor agrícola."
"Aplicativo Calagem
",Brasil,Não,Danilo Andrade Santos,Orientação Técnica,Antes ,"Fertilizantes, inoculantes e nutrientes",Aplicativo,Meios de comunicação de massa,Ambos,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Português,Não,Não,Digitalização,Acessível a terceiros,"https://calagemapp.com/
https://play.google.com/store/apps/details?id=com.calagem_app.codigo.agro.dados.agro",O aplicativo Calagem é um assistente de cálculo que recomenda as necessidades de calagem e a quantidade de reguladores de acidez necessária. Insira os dados da sua análise de solo e deixe o aplicativo Calagem realizar os cálculos e gerar uma recomendação personalizada em PDF para você compartilhar com seus contatos.
RecetuAgro,Brasil,Não,Lago Lucinei Robson,Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Português,Não,Sim,Digitalização,Acessível a terceiros,"https://receituagro.agrimind.com.br/
https://play.google.com/store/apps/details?id=br.com.agrimind.pragassoja","Consulte os produtos indicados para o tratamento das principais pragas e doenças que atacam uma grande variedade de culturas; encontre recomendações para aplicação de pesticidas, dosagem e preparação de soluções de pulverização."
Cultura Aquática,Brasil,Não,Crops Team Consulting Services Research and Development LTDA,Orientação Técnica,Antes ,Gestão de Resíduos e Água,Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Português,Não,Sim,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=com.cropsteam.watercrop,"Um aplicativo focado na gestão da irrigação, desenvolvido para auxiliar agricultores e consultores na tomada de decisões sobre o uso da água em culturas irrigadas por aspersão. A ferramenta ajuda a definir o momento e o volume da irrigação, considerando variáveis ​​como características da cultura, data de plantio e tipo de solo, contribuindo assim para uma gestão mais eficiente dos recursos hídricos."
